h,no,va,vo,g
ILS,11,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 47, 'ruido': 56, 'int_luminosa': 661}",0.5774
ILS,12,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 41, 'ruido': 40, 'int_luminosa': 661}",0.57735
ILS,13,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 54, 'ruido': 32, 'int_luminosa': 661}",0.57735
ILS,14,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 66, 'ruido': 57, 'int_luminosa': 662}",0.57715
ILS,15,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 66, 'ruido': 64, 'int_luminosa': 661}",0.57735
ILS,16,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 63, 'ruido': 55, 'int_luminosa': 661}",0.5774
ILS,17,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 42, 'ruido': 32, 'int_luminosa': 661}",0.57735
ILS,18,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 43, 'ruido': 55, 'int_luminosa': 660}",0.57715
ILS,19,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 45, 'ruido': 65, 'int_luminosa': 661}",0.57735
ILS,20,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 61, 'ruido': 53, 'int_luminosa': 661}",0.57735
ILS,21,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 42, 'ruido': 31, 'int_luminosa': 661}",0.57735
ILS,22,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 45, 'ruido': 41, 'int_luminosa': 661}",0.5774
ILS,23,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 53, 'ruido': 42, 'int_luminosa': 661}",0.5774
ILS,24,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 60, 'ruido': 62, 'int_luminosa': 661}",0.5774
ILS,25,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 51, 'ruido': 55, 'int_luminosa': 661}",0.5774
ILS,26,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 67, 'ruido': 35, 'int_luminosa': 661}",0.57735
ILS,27,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 44, 'ruido': 63, 'int_luminosa': 661}",0.5774
ILS,28,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 58, 'ruido': 31, 'int_luminosa': 661}",0.5774
ILS,29,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 49, 'ruido': 41, 'int_luminosa': 661}",0.57735
ILS,30,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 62, 'ruido': 58, 'int_luminosa': 661}",0.57735
ILS,1,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 61, 'int_luminosa': 418}",0.59335
ILS,2,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 31, 'int_luminosa': 982}",0.59335
ILS,3,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 22, 'humedad': 42, 'ruido': 55, 'int_luminosa': 418}",0.59335
ILS,4,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 51, 'int_luminosa': 557}",0.59335
ILS,5,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 43, 'int_luminosa': 964}",0.59335
ILS,6,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 30, 'int_luminosa': 385}",0.59335
ILS,7,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 51, 'int_luminosa': 669}",0.59335
ILS,8,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 50, 'int_luminosa': 788}",0.59335
ILS,9,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 38, 'int_luminosa': 792}",0.59335
ILS,10,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 34, 'int_luminosa': 332}",0.59335
ILS,11,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 22, 'humedad': 42, 'ruido': 42, 'int_luminosa': 370}",0.59335
ILS,12,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 61, 'int_luminosa': 722}",0.59335
ILS,13,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 41, 'int_luminosa': 794}",0.59335
ILS,14,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 52, 'int_luminosa': 653}",0.59335
ILS,15,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 58, 'int_luminosa': 867}",0.59335
ILS,16,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 43, 'int_luminosa': 793}",0.59335
ILS,17,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 35, 'int_luminosa': 397}",0.59335
ILS,18,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 51, 'int_luminosa': 674}",0.59335
ILS,19,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 42, 'int_luminosa': 511}",0.59335
ILS,20,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 49, 'int_luminosa': 531}",0.59335
ILS,21,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 35, 'int_luminosa': 587}",0.59335
ILS,22,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 64, 'int_luminosa': 763}",0.59335
ILS,23,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 52, 'int_luminosa': 411}",0.59335
ILS,24,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 27, 'humedad': 42, 'ruido': 62, 'int_luminosa': 417}",0.59335
ILS,25,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 52, 'int_luminosa': 417}",0.59335
ILS,26,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 26, 'humedad': 42, 'ruido': 33, 'int_luminosa': 887}",0.59335
ILS,27,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 28, 'humedad': 42, 'ruido': 52, 'int_luminosa': 929}",0.59335
ILS,28,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 56, 'int_luminosa': 511}",0.59335
ILS,29,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 20, 'humedad': 42, 'ruido': 30, 'int_luminosa': 739}",0.59335
ILS,30,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 42, 'int_luminosa': 803}",0.59335
ILS,1,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 54, 'int_luminosa': 737}",0.6441
ILS,2,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 57, 'ruido': 56, 'int_luminosa': 740}",0.64535
ILS,3,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 57, 'int_luminosa': 744}",0.6453
ILS,4,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 57, 'ruido': 57, 'int_luminosa': 733}",0.6441
ILS,5,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 55, 'int_luminosa': 739}",0.6448
ILS,6,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 54, 'int_luminosa': 734}",0.64345
ILS,7,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 57, 'ruido': 57, 'int_luminosa': 746}",0.6446
ILS,8,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 57, 'ruido': 52, 'int_luminosa': 741}",0.64435
ILS,9,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 55, 'int_luminosa': 738}",0.6446
ILS,10,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 57, 'ruido': 58, 'int_luminosa': 731}",0.644
ILS,11,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 20, 'humedad': 57, 'ruido': 59, 'int_luminosa': 731}",0.64425
ILS,12,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 56, 'ruido': 59, 'int_luminosa': 744}",0.64335
ILS,13,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 57, 'ruido': 57, 'int_luminosa': 735}",0.64455
ILS,14,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 55, 'int_luminosa': 743}",0.64505
ILS,15,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 56, 'int_luminosa': 741}",0.64555
ILS,16,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 57, 'ruido': 60, 'int_luminosa': 742}",0.6452
ILS,17,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 59, 'int_luminosa': 742}",0.6466
ILS,18,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 27, 'humedad': 57, 'ruido': 58, 'int_luminosa': 738}",0.6455
ILS,19,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 24, 'humedad': 57, 'ruido': 51, 'int_luminosa': 740}",0.6438
ILS,20,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 21, 'humedad': 57, 'ruido': 50, 'int_luminosa': 743}",0.6436
ILS,21,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 56, 'ruido': 59, 'int_luminosa': 740}",0.6436
ILS,22,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 58, 'int_luminosa': 730}",0.6438
ILS,23,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 57, 'ruido': 53, 'int_luminosa': 744}",0.6441
ILS,24,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 25, 'humedad': 57, 'ruido': 49, 'int_luminosa': 742}",0.64365
ILS,25,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 26, 'humedad': 57, 'ruido': 52, 'int_luminosa': 731}",0.6422
ILS,26,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 22, 'humedad': 57, 'ruido': 50, 'int_luminosa': 744}",0.6432
ILS,27,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 23, 'humedad': 57, 'ruido': 56, 'int_luminosa': 732}",0.6436
ILS,28,"{'temperatura': 31, 'humedad': 56, 'ruido': 58, 'int_luminosa': 743}","{'temperatura': 28, 'humedad': 57, 'ruido': 55, 'int_luminosa': 748}",0.6432
