h,no,va,vo,g
GA,29,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 24, 'humedad': 64, 'ruido': 42, 'int_luminosa': 994}",0.5
GA,30,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 61, 'ruido': 43, 'int_luminosa': 627}",0.5
GA,1,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 68, 'ruido': 56, 'int_luminosa': 661}",0.5774
GA,2,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 54, 'ruido': 55, 'int_luminosa': 661}",0.5774
GA,3,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 69, 'ruido': 52, 'int_luminosa': 662}",0.57715
GA,4,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 44, 'ruido': 50, 'int_luminosa': 660}",0.57715
GA,5,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 66, 'ruido': 51, 'int_luminosa': 664}",0.5767
GA,6,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 43, 'ruido': 45, 'int_luminosa': 661}",0.5774
GA,7,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 67, 'ruido': 38, 'int_luminosa': 658}",0.57675
GA,8,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 70, 'ruido': 59, 'int_luminosa': 661}",0.5774
GA,9,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 65, 'ruido': 46, 'int_luminosa': 660}",0.57715
GA,10,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 57, 'ruido': 34, 'int_luminosa': 659}",0.57695
GA,11,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 45, 'ruido': 55, 'int_luminosa': 661}",0.5774
GA,12,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 59, 'ruido': 63, 'int_luminosa': 661}",0.5774
GA,13,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 64, 'ruido': 45, 'int_luminosa': 661}",0.5774
GA,14,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 54, 'ruido': 61, 'int_luminosa': 660}",0.57715
GA,15,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 41, 'ruido': 54, 'int_luminosa': 662}",0.57715
GA,16,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 67, 'ruido': 52, 'int_luminosa': 661}",0.5774
GA,17,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 46, 'ruido': 38, 'int_luminosa': 661}",0.5774
GA,18,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 40, 'ruido': 59, 'int_luminosa': 661}",0.5774
GA,19,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 25, 'humedad': 48, 'ruido': 45, 'int_luminosa': 660}",0.57715
GA,20,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 40, 'ruido': 59, 'int_luminosa': 661}",0.5774
GA,21,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 44, 'ruido': 32, 'int_luminosa': 660}",0.57715
GA,22,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 22, 'humedad': 66, 'ruido': 59, 'int_luminosa': 663}",0.5769
GA,23,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 65, 'ruido': 42, 'int_luminosa': 659}",0.57695
GA,24,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 61, 'ruido': 50, 'int_luminosa': 661}",0.57735
GA,25,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 60, 'ruido': 55, 'int_luminosa': 662}",0.57715
GA,26,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 50, 'ruido': 35, 'int_luminosa': 661}",0.5774
GA,27,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 50, 'ruido': 63, 'int_luminosa': 662}",0.57715
GA,28,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 49, 'ruido': 54, 'int_luminosa': 658}",0.57675
GA,29,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 60, 'ruido': 46, 'int_luminosa': 662}",0.57715
GA,30,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 56, 'ruido': 63, 'int_luminosa': 661}",0.5774
GA,1,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 25, 'humedad': 42, 'ruido': 33, 'int_luminosa': 383}",0.59335
GA,2,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 59, 'int_luminosa': 846}",0.59335
GA,3,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 39, 'int_luminosa': 412}",0.59335
GA,4,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 44, 'int_luminosa': 910}",0.59335
GA,5,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 38, 'int_luminosa': 883}",0.59335
GA,6,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 24, 'humedad': 42, 'ruido': 46, 'int_luminosa': 650}",0.59335
GA,7,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 21, 'humedad': 42, 'ruido': 64, 'int_luminosa': 355}",0.59335
GA,8,"{'temperatura': 32, 'humedad': 41, 'ruido': 95, 'int_luminosa': 272}","{'temperatura': 23, 'humedad': 42, 'ruido': 54, 'int_luminosa': 835}",0.59335
