h,no,va,vo,g
AL,26,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 69, 'ruido': 37, 'int_luminosa': 574}",0.5
AL,27,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 23, 'humedad': 45, 'ruido': 61, 'int_luminosa': 706}",0.5
AL,28,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 47, 'ruido': 54, 'int_luminosa': 922}",0.5
AL,29,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 40, 'ruido': 64, 'int_luminosa': 634}",0.5
AL,30,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 27, 'humedad': 68, 'ruido': 51, 'int_luminosa': 407}",0.5
AL,1,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 41, 'ruido': 46, 'int_luminosa': 657}",0.5765
AL,2,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 41, 'ruido': 59, 'int_luminosa': 680}",0.573
AL,3,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 56, 'ruido': 39, 'int_luminosa': 642}",0.5733
AL,4,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 64, 'ruido': 65, 'int_luminosa': 679}",0.57325
AL,5,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 27, 'humedad': 48, 'ruido': 37, 'int_luminosa': 663}",0.5769
AL,6,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 43, 'ruido': 54, 'int_luminosa': 660}",0.57715
AL,7,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 62, 'ruido': 65, 'int_luminosa': 674}",0.5744
AL,8,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 42, 'ruido': 59, 'int_luminosa': 665}",0.57645
AL,9,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 59, 'ruido': 50, 'int_luminosa': 666}",0.5762
AL,10,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 65, 'ruido': 30, 'int_luminosa': 699}",0.56865
AL,11,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 62, 'ruido': 55, 'int_luminosa': 650}",0.575
AL,12,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 44, 'ruido': 60, 'int_luminosa': 657}",0.5765
