h,no,va,vo,g
TS,25,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 28, 'humedad': 70, 'ruido': 35, 'int_luminosa': 878}",0.5
TS,26,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 20, 'humedad': 57, 'ruido': 53, 'int_luminosa': 465}",0.5
TS,27,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 21, 'humedad': 41, 'ruido': 30, 'int_luminosa': 410}",0.5
TS,28,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 22, 'humedad': 48, 'ruido': 60, 'int_luminosa': 825}",0.5
TS,29,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 42, 'ruido': 41, 'int_luminosa': 492}",0.5
TS,30,"{'temperatura': 28, 'humedad': 87, 'ruido': 113, 'int_luminosa': 116}","{'temperatura': 26, 'humedad': 44, 'ruido': 43, 'int_luminosa': 833}",0.5
TS,1,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 56, 'ruido': 32, 'int_luminosa': 657}",0.5765
TS,2,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 65, 'ruido': 49, 'int_luminosa': 669}",0.57555
TS,3,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 21, 'humedad': 49, 'ruido': 36, 'int_luminosa': 675}",0.5742
TS,4,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 23, 'humedad': 46, 'ruido': 54, 'int_luminosa': 668}",0.57575
TS,5,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 48, 'ruido': 45, 'int_luminosa': 656}",0.5763
TS,6,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 53, 'ruido': 61, 'int_luminosa': 663}",0.5769
TS,7,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 24, 'humedad': 41, 'ruido': 35, 'int_luminosa': 669}",0.57555
TS,8,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 20, 'humedad': 62, 'ruido': 57, 'int_luminosa': 653}",0.57565
TS,9,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 26, 'humedad': 68, 'ruido': 58, 'int_luminosa': 663}",0.5769
TS,10,"{'temperatura': 29, 'humedad': 94, 'ruido': 93, 'int_luminosa': 662}","{'temperatura': 28, 'humedad': 47, 'ruido': 49, 'int_luminosa': 659}",0.57695
