h,va,iqr
TS,"{'temperatura': 38, 'humedad': 44, 'ruido': 107, 'int_luminosa': 188}",0.0
TS,"{'temperatura': 38, 'humedad': 60, 'ruido': 91, 'int_luminosa': 829}",0.0056874999999999565
TS,"{'temperatura': 38, 'humedad': 71, 'ruido': 36, 'int_luminosa': 833}",0.00573749999999984
TS,"{'temperatura': 38, 'humedad': 79, 'ruido': 69, 'int_luminosa': 355}",0.00019999999999997797
TS,"{'temperatura': 39, 'humedad': 41, 'ruido': 60, 'int_luminosa': 797}",0.014549999999999952
TS,"{'temperatura': 39, 'humedad': 56, 'ruido': 56, 'int_luminosa': 102}",0.0025374999999999703
TS,"{'temperatura': 39, 'humedad': 63, 'ruido': 32, 'int_luminosa': 371}",0.00539999999999996
TS,"{'temperatura': 39, 'humedad': 65, 'ruido': 36, 'int_luminosa': 483}",0.004912499999999875
TS,"{'temperatura': 39, 'humedad': 71, 'ruido': 86, 'int_luminosa': 954}",0.0022999999999999687
TS,"{'temperatura': 39, 'humedad': 72, 'ruido': 46, 'int_luminosa': 292}",5.0000000000105516e-05
TS,"{'temperatura': 39, 'humedad': 87, 'ruido': 119, 'int_luminosa': 104}",0.0
